County,Most searched NFL team in 2018
"Washington County, New York",New York Giants
"Wyoming County, New York",Buffalo Bills
"Yates County, New York",Buffalo Bills
"Alamance County, North Carolina",Carolina Panthers
"Alexander County, North Carolina",Carolina Panthers
"Alleghany County, North Carolina",Dallas Cowboys
"Anson County, North Carolina",Carolina Panthers
"Avery County, North Carolina",Carolina Panthers
"Beaufort County, North Carolina",Carolina Panthers
"Bertie County, North Carolina",Pittsburgh Steelers
"Bladen County, North Carolina",Carolina Panthers
"Brunswick County, North Carolina",Carolina Panthers
"Buncombe County, North Carolina",Carolina Panthers
"Caldwell County, North Carolina",Carolina Panthers
"Camden County, North Carolina",Green Bay Packers
"Carteret County, North Carolina",Carolina Panthers
"Caswell County, North Carolina",Pittsburgh Steelers
"Catawba County, North Carolina",Carolina Panthers
"Chatham County, North Carolina",Carolina Panthers
"Cherokee County, North Carolina",Pittsburgh Steelers
"Clay County, North Carolina",New Orleans Saints
"Columbus County, North Carolina",Carolina Panthers
"Craven County, North Carolina",Washington Redskins
"Currituck County, North Carolina",Pittsburgh Steelers
"Dare County, North Carolina",Carolina Panthers
"Davidson County, North Carolina",Carolina Panthers
"Davie County, North Carolina",Carolina Panthers
"Edgecombe County, North Carolina",Dallas Cowboys
"Franklin County, North Carolina",Philadelphia Eagles
"Gates County, North Carolina",Denver Broncos
"Granville County, North Carolina",Carolina Panthers
"Greene County, North Carolina",Carolina Panthers
"Guilford County, North Carolina",Carolina Panthers
"Halifax County, North Carolina",Carolina Panthers
"Harnett County, North Carolina",New England Patriots
"Haywood County, North Carolina",New England Patriots
"Henderson County, North Carolina",Carolina Panthers
"Hertford County, North Carolina",Washington Redskins
"Hoke County, North Carolina",Carolina Panthers
"Hyde County, North Carolina",Pittsburgh Steelers
"Iredell County, North Carolina",Carolina Panthers
"Jackson County, North Carolina",Dallas Cowboys
"Johnston County, North Carolina",Buffalo Bills
"Jones County, North Carolina",Carolina Panthers
"Lee County, North Carolina",Carolina Panthers
"Lenoir County, North Carolina",Dallas Cowboys
"Lincoln County, North Carolina",Carolina Panthers
"McDowell County, North Carolina",Carolina Panthers
"Macon County, North Carolina",Carolina Panthers
"Madison County, North Carolina",Carolina Panthers
"Martin County, North Carolina",Chicago Bears
"Mitchell County, North Carolina",New England Patriots
"Montgomery County, North Carolina",Carolina Panthers
"Nash County, North Carolina",Carolina Panthers
"New Hanover County, North Carolina",Carolina Panthers
"Northampton County, North Carolina",Cleveland Browns
"Onslow County, North Carolina",New England Patriots
"Orange County, North Carolina",Carolina Panthers
"Pamlico County, North Carolina",Dallas Cowboys
"Pender County, North Carolina",Dallas Cowboys
"Perquimans County, North Carolina",New England Patriots
"Person County, North Carolina",Pittsburgh Steelers
"Pitt County, North Carolina",Dallas Cowboys
"Polk County, North Carolina",Carolina Panthers
"Richmond County, North Carolina",Carolina Panthers
"Robeson County, North Carolina",Carolina Panthers
"Rockingham County, North Carolina",Carolina Panthers
"Rowan County, North Carolina",Carolina Panthers
"Rutherford County, North Carolina",Carolina Panthers
"Sampson County, North Carolina",Atlanta Falcons
"Scotland County, North Carolina",Carolina Panthers
"Stanly County, North Carolina",Carolina Panthers
"Surry County, North Carolina",Carolina Panthers
"Swain County, North Carolina",Cincinnati Bengals
"Tyrrell County, North Carolina",Dallas Cowboys
"Vance County, North Carolina",Minnesota Vikings
"Warren County, North Carolina",Dallas Cowboys
"Washington County, North Carolina",Seattle Seahawks
"Watauga County, North Carolina",Carolina Panthers
"Wilkes County, North Carolina",Pittsburgh Steelers
"Wilson County, North Carolina",Carolina Panthers
"Yadkin County, North Carolina",Carolina Panthers
"Yancey County, North Carolina",New Orleans Saints
"Barnes County, North Dakota",New England Patriots
"Billings County, North Dakota",Dallas Cowboys
"Bottineau County, North Dakota",Carolina Panthers
"Bowman County, North Dakota",New Orleans Saints
"Burke County, North Dakota",Denver Broncos
"Cass County, North Dakota",Minnesota Vikings
"Cavalier County, North Dakota",Minnesota Vikings
"Dickey County, North Dakota",Minnesota Vikings
"Dunn County, North Dakota",San Francisco 49ers
"Eddy County, North Dakota",Philadelphia Eagles
"Emmons County, North Dakota",Minnesota Vikings
"Foster County, North Dakota",Minnesota Vikings
"Grand Forks County, North Dakota",Minnesota Vikings
"Griggs County, North Dakota",Denver Broncos
"Hettinger County, North Dakota",Denver Broncos
"Kidder County, North Dakota",Minnesota Vikings
"LaMoure County, North Dakota",Minnesota Vikings
"Logan County, North Dakota",Minnesota Vikings
"McHenry County, North Dakota",Minnesota Vikings
"McIntosh County, North Dakota",Minnesota Vikings
"McKenzie County, North Dakota",Minnesota Vikings
"McLean County, North Dakota",Washington Redskins
"Mercer County, North Dakota",Minnesota Vikings
"Morton County, North Dakota",Minnesota Vikings
"Pembina County, North Dakota",Minnesota Vikings
"Pierce County, North Dakota",Kansas City Chiefs
"Ramsey County, North Dakota",Oakland Raiders
"Renville County, North Dakota",Green Bay Packers
"Richland County, North Dakota",Minnesota Vikings
"Rolette County, North Dakota",Minnesota Vikings
"Sheridan County, North Dakota",Minnesota Vikings
"Sioux County, North Dakota",New England Patriots
"Stark County, North Dakota",Minnesota Vikings
"Steele County, North Dakota",Los Angeles Rams
"Stutsman County, North Dakota",Minnesota Vikings
"Towner County, North Dakota",Minnesota Vikings
"Traill County, North Dakota",Minnesota Vikings
"Walsh County, North Dakota",Philadelphia Eagles
"Ward County, North Dakota",Minnesota Vikings
"Wells County, North Dakota",Minnesota Vikings
"Adams County, Ohio",Cincinnati Bengals
"Allen County, Ohio",Cleveland Browns
"Ashland County, Ohio",Cleveland Browns
"Auglaize County, Ohio",Cleveland Browns
"Belmont County, Ohio",Pittsburgh Steelers
"Brown County, Ohio",Cincinnati Bengals
"Carroll County, Ohio",Cleveland Browns
"Champaign County, Ohio",New Orleans Saints
"Clark County, Ohio",Cleveland Browns
"Clinton County, Ohio",Cincinnati Bengals
"Columbiana County, Ohio",Cleveland Browns
"Coshocton County, Ohio",Cleveland Browns
"Crawford County, Ohio",Cleveland Browns
"Darke County, Ohio",Minnesota Vikings
"Defiance County, Ohio",Pittsburgh Steelers
"Erie County, Ohio",Cleveland Browns
"Fairfield County, Ohio",Cleveland Browns
"Fayette County, Ohio",Cleveland Browns
"Fulton County, Ohio",Cleveland Browns
"Gallia County, Ohio",Denver Broncos
"Geauga County, Ohio",Cleveland Browns
"Guernsey County, Ohio",Cleveland Browns
"Hancock County, Ohio",Cleveland Browns
"Hardin County, Ohio",Cleveland Browns
"Harrison County, Ohio",Cleveland Browns
"Henry County, Ohio",Cleveland Browns
"Highland County, Ohio",Cincinnati Bengals
"Hocking County, Ohio",Pittsburgh Steelers
"Holmes County, Ohio",Cleveland Browns
"Huron County, Ohio",Cleveland Browns
"Jackson County, Ohio",Green Bay Packers
"Knox County, Ohio",Cleveland Browns
"Lake County, Ohio",Cleveland Browns
"Lawrence County, Ohio",New England Patriots
"Licking County, Ohio",Cleveland Browns
"Logan County, Ohio",Cincinnati Bengals
"Madison County, Ohio",Cleveland Browns
"Marion County, Ohio",Cleveland Browns
"Medina County, Ohio",Cleveland Browns
"Meigs County, Ohio",Cleveland Browns
"Mercer County, Ohio",Cleveland Browns
"Miami County, Ohio",Cincinnati Bengals
"Monroe County, Ohio",Dallas Cowboys
"Morgan County, Ohio",Pittsburgh Steelers
"Morrow County, Ohio",Cleveland Browns
"Noble County, Ohio",Dallas Cowboys
"Ottawa County, Ohio",Cleveland Browns
"Paulding County, Ohio",Cincinnati Bengals
"Pickaway County, Ohio",Cincinnati Bengals
"Pike County, Ohio",Cincinnati Bengals
"Portage County, Ohio",Cleveland Browns
"Preble County, Ohio",Pittsburgh Steelers
"Putnam County, Ohio",Cleveland Browns
"Richland County, Ohio",Cleveland Browns
"Ross County, Ohio",Cleveland Browns
"Sandusky County, Ohio",Cleveland Browns
"Scioto County, Ohio",Cincinnati Bengals
"Shelby County, Ohio",Cleveland Browns
"Trumbull County, Ohio",Cleveland Browns
"Tuscarawas County, Ohio",Cleveland Browns
"Union County, Ohio",Cleveland Browns
"Van Wert County, Ohio",Kansas City Chiefs
"Vinton County, Ohio",Cleveland Browns
"Washington County, Ohio",Pittsburgh Steelers
"Wayne County, Ohio",Cleveland Browns
"Williams County, Ohio",Detroit Lions
"Wood County, Ohio",Cleveland Browns
"Wyandot County, Ohio",Cleveland Browns
"Adair County, Oklahoma",Philadelphia Eagles
"Alfalfa County, Oklahoma",Philadelphia Eagles
"Atoka County, Oklahoma",Philadelphia Eagles
"Beckham County, Oklahoma",Dallas Cowboys
"Bryan County, Oklahoma",Dallas Cowboys
"Canadian County, Oklahoma",Dallas Cowboys
"Carter County, Oklahoma",Dallas Cowboys
"Cherokee County, Oklahoma",New York Giants
"Cleveland County, Oklahoma",Chicago Bears
"Coal County, Oklahoma",New Orleans Saints
"Comanche County, Oklahoma",Dallas Cowboys
"Cotton County, Oklahoma",Pittsburgh Steelers
"Craig County, Oklahoma",Philadelphia Eagles
"Creek County, Oklahoma",Dallas Cowboys
"Custer County, Oklahoma",New York Jets
"Delaware County, Oklahoma",Kansas City Chiefs
"Ellis County, Oklahoma",Dallas Cowboys
"Garfield County, Oklahoma",Dallas Cowboys
"Garvin County, Oklahoma",New England Patriots
"Grady County, Oklahoma",Dallas Cowboys
"Greer County, Oklahoma",Cleveland Browns
"Harmon County, Oklahoma",Philadelphia Eagles
"Haskell County, Oklahoma",Minnesota Vikings
"Hughes County, Oklahoma",Tennessee Titans
"Jackson County, Oklahoma",Dallas Cowboys
"Jefferson County, Oklahoma",Dallas Cowboys
"Johnston County, Oklahoma",Philadelphia Eagles
"Kay County, Oklahoma",Philadelphia Eagles
"Kingfisher County, Oklahoma",Philadelphia Eagles
"Latimer County, Oklahoma",Philadelphia Eagles
"Lincoln County, Oklahoma",Houston Texans
"Love County, Oklahoma",Dallas Cowboys
"McClain County, Oklahoma",Dallas Cowboys
"McCurtain County, Oklahoma",Dallas Cowboys
"McIntosh County, Oklahoma",Philadelphia Eagles
"Major County, Oklahoma",New Orleans Saints
"Marshall County, Oklahoma",Dallas Cowboys
"Mayes County, Oklahoma",Dallas Cowboys
"Murray County, Oklahoma",Denver Broncos
"Muskogee County, Oklahoma",Dallas Cowboys
"Noble County, Oklahoma",Dallas Cowboys
"Nowata County, Oklahoma",Dallas Cowboys
"Okfuskee County, Oklahoma",Green Bay Packers
"Okmulgee County, Oklahoma",Cleveland Browns
"Osage County, Oklahoma",Green Bay Packers
"Pawnee County, Oklahoma",Dallas Cowboys
"Payne County, Oklahoma",Dallas Cowboys
"Pittsburg County, Oklahoma",New England Patriots
"Pontotoc County, Oklahoma",Dallas Cowboys
"Pottawatomie County, Oklahoma",Philadelphia Eagles
"Roger Mills County, Oklahoma",Seattle Seahawks
"Rogers County, Oklahoma",New England Patriots
"Seminole County, Oklahoma",New England Patriots
"Sequoyah County, Oklahoma",Dallas Cowboys
"Texas County, Oklahoma",Dallas Cowboys
"Tillman County, Oklahoma",Denver Broncos
"Wagoner County, Oklahoma",Dallas Cowboys
"Washington County, Oklahoma",Dallas Cowboys
"Washita County, Oklahoma",Green Bay Packers
"Woods County, Oklahoma",Dallas Cowboys
"Woodward County, Oklahoma",Pittsburgh Steelers
"Baker County, Oregon",Dallas Cowboys
"Clatsop County, Oregon",Seattle Seahawks
"Columbia County, Oregon",Philadelphia Eagles
"Coos County, Oregon",Oakland Raiders
"Crook County, Oregon",Seattle Seahawks
"Curry County, Oregon",Pittsburgh Steelers
"Deschutes County, Oregon",Seattle Seahawks
"Douglas County, Oregon",San Francisco 49ers
"Gilliam County, Oregon",New England Patriots
"Grant County, Oregon",Seattle Seahawks
"Harney County, Oregon",Dallas Cowboys
"Hood River County, Oregon",New England Patriots
"Jackson County, Oregon",Seattle Seahawks
"Jefferson County, Oregon",San Francisco 49ers
"Josephine County, Oregon",Oakland Raiders
"Lake County, Oregon",San Francisco 49ers
"Lane County, Oregon",Tennessee Titans
"Lincoln County, Oregon",San Francisco 49ers
"Linn County, Oregon",Seattle Seahawks
"Malheur County, Oregon",Dallas Cowboys
"Polk County, Oregon",Seattle Seahawks
"Tillamook County, Oregon",Philadelphia Eagles
"Umatilla County, Oregon",Seattle Seahawks
"Union County, Oregon",Philadelphia Eagles
"Wallowa County, Oregon",Los Angeles Chargers
"Wasco County, Oregon",San Francisco 49ers
"Adams County, Pennsylvania",Philadelphia Eagles
"Armstrong County, Pennsylvania",Pittsburgh Steelers
"Bedford County, Pennsylvania",Pittsburgh Steelers
"Berks County, Pennsylvania",Philadelphia Eagles
"Blair County, Pennsylvania",Pittsburgh Steelers
"Bradford County, Pennsylvania",Philadelphia Eagles
"Bucks County, Pennsylvania",Philadelphia Eagles
"Carbon County, Pennsylvania",Philadelphia Eagles
"Clarion County, Pennsylvania",Pittsburgh Steelers
"Clearfield County, Pennsylvania",Pittsburgh Steelers
"Clinton County, Pennsylvania",Philadelphia Eagles
"Columbia County, Pennsylvania",Philadelphia Eagles
"Crawford County, Pennsylvania",Pittsburgh Steelers
"Fayette County, Pennsylvania",Pittsburgh Steelers
"Forest County, Pennsylvania",Pittsburgh Steelers
"Fulton County, Pennsylvania",Dallas Cowboys
"Greene County, Pennsylvania",Pittsburgh Steelers
"Huntingdon County, Pennsylvania",Pittsburgh Steelers
"Indiana County, Pennsylvania",Pittsburgh Steelers
"Jefferson County, Pennsylvania",Pittsburgh Steelers
"Juniata County, Pennsylvania",Philadelphia Eagles
"Lackawanna County, Pennsylvania",Philadelphia Eagles
"Lancaster County, Pennsylvania",Philadelphia Eagles
"Lycoming County, Pennsylvania",Philadelphia Eagles
"McKean County, Pennsylvania",Buffalo Bills
"Mercer County, Pennsylvania",Pittsburgh Steelers
"Mifflin County, Pennsylvania",Philadelphia Eagles
"Monroe County, Pennsylvania",Philadelphia Eagles
"Montour County, Pennsylvania",Philadelphia Eagles
"Northumberland County, Pennsylvania",Philadelphia Eagles
"Perry County, Pennsylvania",Pittsburgh Steelers
"Pike County, Pennsylvania",New York Giants
"Potter County, Pennsylvania",Pittsburgh Steelers
"Somerset County, Pennsylvania",Pittsburgh Steelers
"Sullivan County, Pennsylvania",Philadelphia Eagles
"Susquehanna County, Pennsylvania",Philadelphia Eagles
"Tioga County, Pennsylvania",Philadelphia Eagles
"Union County, Pennsylvania",Philadelphia Eagles
"Warren County, Pennsylvania",Buffalo Bills
"Washington County, Pennsylvania",Pittsburgh Steelers
"Wayne County, Pennsylvania",Pittsburgh Steelers
"Wyoming County, Pennsylvania",Pittsburgh Steelers
"Bristol County, Rhode Island",New England Patriots
"Kent County, Rhode Island",New England Patriots
"Newport County, Rhode Island",New England Patriots
"Washington County, Rhode Island",New England Patriots
"Abbeville County, South Carolina",Dallas Cowboys
"Allendale County, South Carolina",Dallas Cowboys
"Anderson County, South Carolina",Cleveland Browns
"Bamberg County, South Carolina",New England Patriots
"Barnwell County, South Carolina",New England Patriots
"Beaufort County, South Carolina",New England Patriots
"Berkeley County, South Carolina",Dallas Cowboys
"Calhoun County, South Carolina",Pittsburgh Steelers
"Chester County, South Carolina",San Francisco 49ers
"Clarendon County, South Carolina",Carolina Panthers
"Colleton County, South Carolina",Philadelphia Eagles
"Darlington County, South Carolina",Oakland Raiders
"Dillon County, South Carolina",New England Patriots
"Edgefield County, South Carolina",Indianapolis Colts
"Fairfield County, South Carolina",New England Patriots
"Florence County, South Carolina",Dallas Cowboys
"Georgetown County, South Carolina",New England Patriots
"Greenwood County, South Carolina",New England Patriots
"Hampton County, South Carolina",Philadelphia Eagles
"Kershaw County, South Carolina",New England Patriots
"Lancaster County, South Carolina",Carolina Panthers
"Laurens County, South Carolina",Indianapolis Colts
"Lee County, South Carolina",Philadelphia Eagles
"Lexington County, South Carolina",Carolina Panthers
"McCormick County, South Carolina",Carolina Panthers
"Marion County, South Carolina",Pittsburgh Steelers
"Marlboro County, South Carolina",Denver Broncos
"Newberry County, South Carolina",Green Bay Packers
"Oconee County, South Carolina",Philadelphia Eagles
"Orangeburg County, South Carolina",Pittsburgh Steelers
"Pickens County, South Carolina",Philadelphia Eagles
"Saluda County, South Carolina",Green Bay Packers
"Sumter County, South Carolina",Philadelphia Eagles
"Union County, South Carolina",Dallas Cowboys
"Williamsburg County, South Carolina",Dallas Cowboys
"Aurora County, South Dakota",Oakland Raiders
"Beadle County, South Dakota",Minnesota Vikings
"Bon Homme County, South Dakota",Green Bay Packers
"Brookings County, South Dakota",Minnesota Vikings
"Brown County, South Dakota",Minnesota Vikings
"Brule County, South Dakota",Dallas Cowboys
"Campbell County, South Dakota",Chicago Bears
"Charles Mix County, South Dakota",Minnesota Vikings
"Clark County, South Dakota",Miami Dolphins
"Clay County, South Dakota",Minnesota Vikings
"Custer County, South Dakota",Minnesota Vikings
"Davison County, South Dakota",Green Bay Packers
"Day County, South Dakota",Dallas Cowboys
"Deuel County, South Dakota",Minnesota Vikings
"Dewey County, South Dakota",Minnesota Vikings
"Douglas County, South Dakota",Pittsburgh Steelers
"Edmunds County, South Dakota",San Francisco 49ers
"Fall River County, South Dakota",Denver Broncos
"Grant County, South Dakota",Carolina Panthers
"Gregory County, South Dakota",Buffalo Bills
"Haakon County, South Dakota",Minnesota Vikings
"Hamlin County, South Dakota",Minnesota Vikings
"Hand County, South Dakota",New England Patriots
"Hanson County, South Dakota",New England Patriots
"Hughes County, South Dakota",Minnesota Vikings
"Hutchinson County, South Dakota",New England Patriots
"Hyde County, South Dakota",New England Patriots
"Jackson County, South Dakota",Buffalo Bills
"Jerauld County, South Dakota",Buffalo Bills
"Jones County, South Dakota",Philadelphia Eagles
"Kingsbury County, South Dakota",Philadelphia Eagles
"Lake County, South Dakota",Minnesota Vikings
"Lawrence County, South Dakota",Los Angeles Rams
"Lincoln County, South Dakota",Minnesota Vikings
"Lyman County, South Dakota",Green Bay Packers
"McCook County, South Dakota",New England Patriots
"McPherson County, South Dakota",Oakland Raiders
"Marshall County, South Dakota",Philadelphia Eagles
"Meade County, South Dakota",Denver Broncos
"Miner County, South Dakota",Dallas Cowboys
"Moody County, South Dakota",Chicago Bears
"Potter County, South Dakota",Green Bay Packers
"Roberts County, South Dakota",New England Patriots
"Sanborn County, South Dakota",Washington Redskins
"Shannon County, South Dakota",New England Patriots
"Spink County, South Dakota",Philadelphia Eagles
"Stanley County, South Dakota",Dallas Cowboys
"Sully County, South Dakota",Minnesota Vikings
"Todd County, South Dakota",Philadelphia Eagles
"Tripp County, South Dakota",Dallas Cowboys
"Turner County, South Dakota",Philadelphia Eagles
"Union County, South Dakota",Detroit Lions
"Yankton County, South Dakota",Minnesota Vikings
"Anderson County, Tennessee",Tennessee Titans
"Bedford County, Tennessee",Tennessee Titans
"Benton County, Tennessee",New York Giants
"Bledsoe County, Tennessee",Dallas Cowboys
"Blount County, Tennessee",Tennessee Titans
"Campbell County, Tennessee",Chicago Bears
"Cannon County, Tennessee",Pittsburgh Steelers
"Carter County, Tennessee",San Francisco 49ers
"Cheatham County, Tennessee",Tennessee Titans
"Chester County, Tennessee",New England Patriots
"Claiborne County, Tennessee",Philadelphia Eagles
"Clay County, Tennessee",Philadelphia Eagles
"Cocke County, Tennessee",New York Giants
"Coffee County, Tennessee",Tennessee Titans
"Crockett County, Tennessee",Pittsburgh Steelers
"Cumberland County, Tennessee",Tennessee Titans
"Decatur County, Tennessee",Indianapolis Colts
"DeKalb County, Tennessee",Tennessee Titans
"Dickson County, Tennessee",Tennessee Titans
"Dyer County, Tennessee",Tennessee Titans
"Fayette County, Tennessee",Green Bay Packers
"Fentress County, Tennessee",Washington Redskins
"Franklin County, Tennessee",Tennessee Titans
"Giles County, Tennessee",Tennessee Titans
"Grainger County, Tennessee",Dallas Cowboys
"Greene County, Tennessee",New England Patriots
"Grundy County, Tennessee",Detroit Lions
"Hamblen County, Tennessee",New England Patriots
"Hamilton County, Tennessee",Tennessee Titans
"Hardeman County, Tennessee",Dallas Cowboys
"Hardin County, Tennessee",Dallas Cowboys
"Hawkins County, Tennessee",Tennessee Titans
"Haywood County, Tennessee",Tennessee Titans
"Henderson County, Tennessee",Tennessee Titans
"Henry County, Tennessee",Tennessee Titans
"Hickman County, Tennessee",New England Patriots
"Houston County, Tennessee",New England Patriots
"Humphreys County, Tennessee",Pittsburgh Steelers
"Jackson County, Tennessee",Tennessee Titans
"Jefferson County, Tennessee",Pittsburgh Steelers
"Johnson County, Tennessee",New England Patriots
"Knox County, Tennessee",New England Patriots
"Lauderdale County, Tennessee",Dallas Cowboys
"Lawrence County, Tennessee",Tennessee Titans
"Lewis County, Tennessee",Tennessee Titans
"Lincoln County, Tennessee",Tennessee Titans
"Loudon County, Tennessee",New England Patriots
"McMinn County, Tennessee",Dallas Cowboys
"McNairy County, Tennessee",Chicago Bears
"Macon County, Tennessee",Dallas Cowboys
"Madison County, Tennessee",Tennessee Titans
"Marion County, Tennessee",Cleveland Browns
"Marshall County, Tennessee",Jacksonville Jaguars
"Meigs County, Tennessee",New England Patriots
"Monroe County, Tennessee",New Orleans Saints
"Moore County, Tennessee",Tennessee Titans
"Morgan County, Tennessee",Tennessee Titans
"Obion County, Tennessee",Tennessee Titans
"Overton County, Tennessee",Tennessee Titans
"Perry County, Tennessee",Tennessee Titans
"Pickett County, Tennessee",Pittsburgh Steelers
"Polk County, Tennessee",Philadelphia Eagles
"Putnam County, Tennessee",Tennessee Titans
"Rhea County, Tennessee",Atlanta Falcons
"Roane County, Tennessee",Dallas Cowboys
"Robertson County, Tennessee",Tennessee Titans
"Scott County, Tennessee",Tennessee Titans
"Sequatchie County, Tennessee",New York Giants
"Sevier County, Tennessee",Dallas Cowboys
"Smith County, Tennessee",Philadelphia Eagles
"Stewart County, Tennessee",Tennessee Titans
"Sullivan County, Tennessee",Dallas Cowboys
"Tipton County, Tennessee",New England Patriots
"Trousdale County, Tennessee",Carolina Panthers
"Unicoi County, Tennessee",Tennessee Titans
"Union County, Tennessee",Green Bay Packers
"Van Buren County, Tennessee",Tennessee Titans
"Warren County, Tennessee",Chicago Bears
"Washington County, Tennessee",Tennessee Titans
"Weakley County, Tennessee",Dallas Cowboys
"White County, Tennessee",Tennessee Titans
"Williamson County, Tennessee",Tennessee Titans
"Wilson County, Tennessee",Tennessee Titans
"Anderson County, Texas",Dallas Cowboys
"Andrews County, Texas",Dallas Cowboys
"Angelina County, Texas",Dallas Cowboys
"Aransas County, Texas",Dallas Cowboys
"Archer County, Texas",Dallas Cowboys
"Atascosa County, Texas",Dallas Cowboys
"Austin County, Texas",Seattle Seahawks
"Bailey County, Texas",New England Patriots
"Bandera County, Texas",Dallas Cowboys
"Bastrop County, Texas",Houston Texans
"Baylor County, Texas",Dallas Cowboys
"Bee County, Texas",Dallas Cowboys
"Bell County, Texas",Dallas Cowboys
"Blanco County, Texas",Dallas Cowboys
"Bosque County, Texas",Dallas Cowboys
"Bowie County, Texas",Dallas Cowboys
"Brazoria County, Texas",Houston Texans
"Brazos County, Texas",Dallas Cowboys
"Brewster County, Texas",New England Patriots
"Brooks County, Texas",Houston Texans
"Brown County, Texas",Dallas Cowboys
"Burleson County, Texas",Dallas Cowboys
"Burnet County, Texas",Green Bay Packers
"Caldwell County, Texas",Dallas Cowboys
"Calhoun County, Texas",Dallas Cowboys
"Callahan County, Texas",Dallas Cowboys
"Camp County, Texas",Cleveland Browns
"Carson County, Texas",New England Patriots
"Cass County, Texas",Dallas Cowboys
"Chambers County, Texas",Houston Texans
"Childress County, Texas",Dallas Cowboys
"Clay County, Texas",New England Patriots
"Cochran County, Texas",New York Giants
"Coke County, Texas",Dallas Cowboys
"Coleman County, Texas",Dallas Cowboys
"Colorado County, Texas",Dallas Cowboys
"Comanche County, Texas",Dallas Cowboys
"Cooke County, Texas",Dallas Cowboys
"Coryell County, Texas",Dallas Cowboys
"Crane County, Texas",Dallas Cowboys
"Crockett County, Texas",Dallas Cowboys
"Crosby County, Texas",Philadelphia Eagles
"Dallam County, Texas",Green Bay Packers
"Dawson County, Texas",Philadelphia Eagles
"Deaf Smith County, Texas",Dallas Cowboys
"DeWitt County, Texas",Dallas Cowboys
"Dimmit County, Texas",Pittsburgh Steelers
"Donley County, Texas",Dallas Cowboys
"Duval County, Texas",Dallas Cowboys
"Eastland County, Texas",Dallas Cowboys
"Edwards County, Texas",Dallas Cowboys
"Ellis County, Texas",Dallas Cowboys
"Erath County, Texas",New England Patriots
"Falls County, Texas",New England Patriots
"Fannin County, Texas",Dallas Cowboys
"Fayette County, Texas",Dallas Cowboys
"Fisher County, Texas",Philadelphia Eagles
"Floyd County, Texas",Dallas Cowboys
"Fort Bend County, Texas",Houston Texans
"Franklin County, Texas",Tampa Bay Buccaneers
"Freestone County, Texas",New England Patriots
"Frio County, Texas",Buffalo Bills
"Gaines County, Texas",Dallas Cowboys
"Garza County, Texas",Dallas Cowboys
"Gillespie County, Texas",Dallas Cowboys
"Goliad County, Texas",Dallas Cowboys
"Gonzales County, Texas",Dallas Cowboys
"Gray County, Texas",Tennessee Titans
"Gregg County, Texas",Dallas Cowboys
"Grimes County, Texas",Houston Texans
"Guadalupe County, Texas",Dallas Cowboys
"Hale County, Texas",Dallas Cowboys
"Hall County, Texas",Dallas Cowboys
"Hamilton County, Texas",Kansas City Chiefs
"Hansford County, Texas",Dallas Cowboys
"Hardeman County, Texas",Dallas Cowboys
"Hardin County, Texas",Dallas Cowboys
"Harrison County, Texas",Dallas Cowboys
"Hartley County, Texas",Philadelphia Eagles
"Haskell County, Texas",Dallas Cowboys
"Hemphill County, Texas",Indianapolis Colts
"Hill County, Texas",Philadelphia Eagles
"Hockley County, Texas",Dallas Cowboys
"Hood County, Texas",Dallas Cowboys
"Hopkins County, Texas",Dallas Cowboys
"Houston County, Texas",Dallas Cowboys
"Howard County, Texas",Dallas Cowboys
"Hudspeth County, Texas",Dallas Cowboys
"Hunt County, Texas",Dallas Cowboys
"Hutchinson County, Texas",Dallas Cowboys
"Jack County, Texas",Oakland Raiders
"Jackson County, Texas",Philadelphia Eagles
"Jasper County, Texas",Dallas Cowboys
"Jeff Davis County, Texas",Dallas Cowboys
"Jefferson County, Texas",Dallas Cowboys
"Jim Hogg County, Texas",Dallas Cowboys
"Jim Wells County, Texas",Dallas Cowboys
"Jones County, Texas",Dallas Cowboys
"Karnes County, Texas",Dallas Cowboys
"Kendall County, Texas",Philadelphia Eagles
"Kenedy County, Texas",New England Patriots
"Kerr County, Texas",Dallas Cowboys
"Kimble County, Texas",New York Giants
"Kleberg County, Texas",Dallas Cowboys
"Lamar County, Texas",Dallas Cowboys
"Lamb County, Texas",Dallas Cowboys
"Lampasas County, Texas",Dallas Cowboys
"La Salle County, Texas",Philadelphia Eagles
"Lavaca County, Texas",Dallas Cowboys
"Lee County, Texas",Dallas Cowboys
"Leon County, Texas",Dallas Cowboys
"Liberty County, Texas",Dallas Cowboys
"Limestone County, Texas",Dallas Cowboys
"Lipscomb County, Texas",Dallas Cowboys
"Live Oak County, Texas",New England Patriots
"Llano County, Texas",Dallas Cowboys
"Loving County, Texas",New England Patriots
"McCulloch County, Texas",Dallas Cowboys
"McLennan County, Texas",Dallas Cowboys
"McMullen County, Texas",Dallas Cowboys
"Madison County, Texas",Los Angeles Chargers
"Marion County, Texas",New York Giants
"Mason County, Texas",Dallas Cowboys
"Maverick County, Texas",Philadelphia Eagles
"Medina County, Texas",Dallas Cowboys
"Midland County, Texas",Dallas Cowboys
"Milam County, Texas",Dallas Cowboys
"Mills County, Texas",Cleveland Browns
"Mitchell County, Texas",Oakland Raiders
"Montague County, Texas",Dallas Cowboys
"Moore County, Texas",Dallas Cowboys
"Morris County, Texas",Dallas Cowboys
"Navarro County, Texas",Dallas Cowboys
"Newton County, Texas",Denver Broncos
"Nolan County, Texas",Dallas Cowboys
"Ochiltree County, Texas",New England Patriots
