"Search interest in Denmark Party Leaders by City from 5/27/15-6/15/15
All values indexed to 100, where 100 is the max search interest",,,,,,,,,,,
City,Most Searched,Kristian Thulesen Dahl,Helle Thorning-Schmidt,Søren Pape Poulsen,Morten Østergaard,Lars Løkke Rasmussen,Pia Olsen Dyhr,Uffe Elbæk,Johanne Schmidt-Nielsen,Stig Grenov,Anders Samuelsen
Nørre Aaby Municipality (Southern Denmark Region Denmark),Helle Thorning-Schmidt,0.00,1.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Norre Alslev (Region Zealand Denmark),Kristian Thulesen Dahl,1.57,0.00,0.00,1.57,0.00,1.57,0.00,0.00,0.00,0.00
Norresundby (North Denmark Region Denmark),Morten Østergaard,0.00,0.00,0.00,0.87,0.00,0.00,0.00,0.00,0.00,0.00
Nyborg (Southern Denmark Region Denmark),Kristian Thulesen Dahl,0.17,0.17,0.00,0.00,0.00,0.17,0.17,0.00,0.00,0.00
Nykobing Falster (Region Zealand Denmark),Helle Thorning-Schmidt,0.00,0.64,0.00,0.00,0.32,0.00,0.11,0.00,0.00,0.00
Odense (Southern Denmark Region Denmark),Lars Løkke Rasmussen,0.07,0.35,0.04,0.04,0.41,0.14,0.21,0.18,0.00,0.13
Olstykke (Capital Region of Denmark Denmark),Lars Løkke Rasmussen,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,0.00,0.00
Ørbæk (Southern Denmark Region Denmark),Søren Pape Poulsen,0.00,0.00,4.19,4.19,0.00,0.00,0.00,0.00,0.00,0.00
Otterup (Southern Denmark Region Denmark),Johanne Schmidt-Nielsen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.61
Randers (Central Denmark Region Denmark),Helle Thorning-Schmidt,0.00,0.51,0.05,0.00,0.30,0.10,0.10,0.30,0.00,0.20
Ranum (North Denmark Region Denmark),Helle Thorning-Schmidt,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ribe (Southern Denmark Region Denmark),Lars Løkke Rasmussen,0.00,0.00,0.00,0.00,1.13,0.00,0.38,0.38,0.00,0.38
Ringe (Southern Denmark Region Denmark),Lars Løkke Rasmussen,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.33,0.00,0.00
Ringkobing (Central Denmark Region Denmark),Lars Løkke Rasmussen,0.19,0.19,0.00,0.00,0.38,0.00,0.19,0.19,0.00,0.00
Ringsted (Region Zealand Denmark),Søren Pape Poulsen,0.00,0.00,0.27,0.13,0.27,0.00,0.00,0.13,0.00,0.13
Rodding (Southern Denmark Region Denmark),Johanne Schmidt-Nielsen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.00
Rodovre (Capital Region of Denmark Denmark),Helle Thorning-Schmidt,0.34,0.67,0.22,0.11,0.45,0.00,0.11,0.22,0.00,0.34
Ronde (Central Denmark Region Denmark),Johanne Schmidt-Nielsen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00
Rørvig (Region Zealand Denmark),Helle Thorning-Schmidt,0.00,1.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Roskilde County (Region Zealand Denmark),Helle Thorning-Schmidt,0.00,0.29,0.11,0.04,0.26,0.11,0.18,0.18,0.00,0.11
Roslev (Central Denmark Region Denmark),Pia Olsen Dyhr,0.00,0.00,0.00,0.00,0.00,0.89,0.00,0.00,0.00,0.00
Sakskobing (Region Zealand Denmark),Kristian Thulesen Dahl,1.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Silkeborg (Central Denmark Region Denmark),Helle Thorning-Schmidt,0.00,0.46,0.00,0.06,0.17,0.06,0.11,0.06,0.00,0.11
Skaelskor (Region Zealand Denmark),Helle Thorning-Schmidt,0.00,0.93,0.00,0.00,0.93,0.93,0.93,0.00,0.00,0.00
Skaerbaek (Southern Denmark Region Denmark),Lars Løkke Rasmussen,0.00,0.00,0.00,0.00,1.14,0.00,0.00,0.00,0.00,0.00
Skagen (North Denmark Region Denmark),Uffe Elbæk,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.00,0.00,0.00
Skibby (Capital Region of Denmark Denmark),Lars Løkke Rasmussen,0.00,0.00,0.00,0.00,3.11,0.00,0.00,0.00,0.00,0.00
Skive (Central Denmark Region Denmark),Morten Østergaard,0.05,0.09,0.14,0.23,0.18,0.05,0.00,0.05,0.00,0.05
Skjern (Central Denmark Region Denmark),Helle Thorning-Schmidt,0.00,0.36,0.00,0.00,0.36,0.00,0.00,0.36,0.00,0.00
Skødstrup (Central Denmark Region Denmark),Helle Thorning-Schmidt,0.00,0.78,0.00,0.00,0.00,0.00,0.00,0.78,0.00,0.00
Slagelse Municipality (Region Zealand Denmark),Helle Thorning-Schmidt,0.07,0.50,0.00,0.00,0.50,0.14,0.00,0.14,0.00,0.07
Solbjerg (Central Denmark Region Denmark),Uffe Elbæk,0.00,0.00,0.00,0.00,0.00,0.00,2.03,2.03,0.00,0.00
