"Search interest in Eurovision from May 6 - 13, 2016. All values indexed to 100, where 100 is the max search interest.",,,
city,region,country,searchinterest
Bottesford,England,United Kingdom,7.36
Izhevsk,Udmurtia,Russia,7.35
Copford,England,United Kingdom,7.35
Twickenham,England,United Kingdom,7.33
Balashikha,Moskovskaya oblast,Russia,7.31
Belgrade ,,Serbia,7.31
Rehovot,Central District,Israel,7.31
Harpenden,England,United Kingdom,7.30
Orenburg,Orenburg Oblast,Russia,7.30
Bradford,England,United Kingdom,7.30
Farnborough,England,United Kingdom,7.29
Glenmavis,Scotland,United Kingdom,7.29
Naberezhnye Chelny,Republic of Tatarstan,Russia,7.26
Petropavlovsk,North Kazakhstan Province,Kazakhstan,7.24
Shipston-on-Stour,England,United Kingdom,7.23
Krasnoyarsk,Krasnoyarsk Krai,Russia,7.21
Heidelberg,Baden-Wurttemberg,Germany,7.20
Noumea ,,New Caledonia,7.19
Copenhagen,Capital Region of Denmark,Denmark,7.16
Birmingham,England,United Kingdom,7.15
Rhodes ,,Greece,7.14
Livingston,Scotland,United Kingdom,7.14
Coningsby,England,United Kingdom,7.12
Heidenheim,Baden-Wurttemberg,Germany,7.11
Sremska Mitrovica,Vojvodina,Serbia,7.07
Slavonski Brod,Brod-Posavina County,Croatia,7.07
Edenfield,England,United Kingdom,7.06
Jerusalem,Jerusalem District,Israel,6.99
Eindhoven,North Brabant,Netherlands,6.96
Novi Sad,Vojvodina,Serbia,6.94
Skanor-Falsterbo,Skåne County,Sweden,6.93
Stavanger,Rogaland,Norway,6.91
Holt,Wales,United Kingdom,6.90
Sandnes,Rogaland,Norway,6.89
Frederiksberg,Capital Region of Denmark,Denmark,6.89
Shifnal,England,United Kingdom,6.89
Blackpool,England,United Kingdom,6.88
Turnhout,Flanders,Belgium,6.86
Mytishchi,Moskovskaya oblast,Russia,6.84
s Hertogenbosch,North Brabant,Netherlands,6.81
Hambleton,England,United Kingdom,6.77
Neuchatel,Canton of Neuchâtel,Switzerland,6.72
Kuopio,Northern Savonia,Finland,6.71
Margate,England,United Kingdom,6.69
Preston,England,United Kingdom,6.69
Cherepovets,Vologda Oblast,Russia,6.68
Bensheim,Hesse,Germany,6.67
Hoddesdon,England,United Kingdom,6.67
Grays,England,United Kingdom,6.64
Northampton,England,United Kingdom,6.64
Cranleigh,England,United Kingdom,6.62
Bergen,Hordaland,Norway,6.60
Lyndhurst,England,United Kingdom,6.56
Vladimir,Vladimir Oblast,Russia,6.55
Clayton-le-Woods,England,United Kingdom,6.54
Congleton,England,United Kingdom,6.53
Burton upon Trent,England,United Kingdom,6.52
Plymouth,England,United Kingdom,6.52
